week_ending,close_date,ticker,source,basis,range_basis,close,previous_week_close_date,previous_week_close,fifty_two_week_low,fifty_two_week_high,close_52w_low,close_52w_high,intraday_52w_low,intraday_52w_high,drawdown,dd_basis,week_over_week,generated_at
2026-06-19,2026-06-18,QQQ,Yahoo Finance,intraday,intraday,740.62,2026-06-12,721.34,523.65,748.65,526.83,746.16,523.65,748.65,-0.010726,intraday,0.026728,2026-07-25T16:19:47.428721-04:00
2026-06-19,2026-06-18,SMH,Yahoo Finance,intraday,intraday,659.88,2026-06-12,619.96,257.12,663.80,260.27,659.88,257.12,663.80,-0.005905,intraday,0.064391,2026-07-25T16:19:47.428721-04:00
2026-06-19,2026-06-18,VOO,Yahoo Finance,intraday,intraday,688.11,2026-06-12,681.95,545.75,699.15,547.72,698.26,545.75,699.15,-0.015791,intraday,0.009033,2026-07-25T16:19:47.428721-04:00
2026-06-26,2026-06-26,QQQ,Yahoo Finance,intraday,intraday,706.52,2026-06-18,740.62,541.52,748.65,546.22,746.16,541.52,748.65,-0.056275,intraday,-0.046042,2026-07-25T16:19:48.482910-04:00
2026-06-26,2026-06-26,SMH,Yahoo Finance,intraday,intraday,611.61,2026-06-18,659.88,272.16,671.83,275.84,668.91,272.16,671.83,-0.089636,intraday,-0.073150,2026-07-25T16:19:48.482910-04:00
2026-06-26,2026-06-26,VOO,Yahoo Finance,intraday,intraday,670.26,2026-06-18,688.11,560.96,699.15,564.15,698.26,560.96,699.15,-0.041322,intraday,-0.025941,2026-07-25T16:19:48.482910-04:00
2026-07-03,2026-07-02,QQQ,Yahoo Finance,intraday,intraday,712.60,2026-06-26,706.52,546.12,748.65,550.80,746.16,546.12,748.65,-0.048153,intraday,0.008605,2026-07-25T16:19:49.591991-04:00
2026-07-03,2026-07-02,SMH,Yahoo Finance,intraday,intraday,592.29,2026-06-26,611.61,274.66,671.83,279.76,668.91,274.66,671.83,-0.118393,intraday,-0.031589,2026-07-25T16:19:49.591991-04:00
2026-07-03,2026-07-02,VOO,Yahoo Finance,intraday,intraday,684.84,2026-06-26,670.26,566.81,699.15,570.23,698.26,566.81,699.15,-0.020468,intraday,0.021753,2026-07-25T16:19:49.591991-04:00
2026-07-10,2026-07-10,QQQ,Yahoo Finance,intraday,intraday,725.51,2026-07-02,712.60,551.56,748.65,553.88,746.16,551.56,748.65,-0.030909,intraday,0.018117,2026-07-25T16:19:50.584783-04:00
2026-07-10,2026-07-10,SMH,Yahoo Finance,intraday,intraday,611.03,2026-07-02,592.29,279.19,671.83,283.95,668.91,279.19,671.83,-0.090499,intraday,0.031640,2026-07-25T16:19:50.584783-04:00
2026-07-10,2026-07-10,VOO,Yahoo Finance,intraday,intraday,693.86,2026-07-02,684.84,568.17,699.15,571.45,698.26,568.17,699.15,-0.007566,intraday,0.013171,2026-07-25T16:19:50.584783-04:00
2026-07-17,2026-07-17,QQQ,Yahoo Finance,intraday,intraday,695.33,2026-07-10,725.51,551.68,748.65,553.88,746.16,551.68,748.65,-0.071222,intraday,-0.041598,2026-07-25T16:19:51.519529-04:00
2026-07-17,2026-07-17,SMH,Yahoo Finance,intraday,intraday,556.53,2026-07-10,611.03,279.19,671.83,283.95,668.91,279.19,671.83,-0.171621,intraday,-0.089194,2026-07-25T16:19:51.519529-04:00
2026-07-17,2026-07-17,VOO,Yahoo Finance,intraday,intraday,683.17,2026-07-10,693.86,569.29,699.15,571.45,698.26,569.29,699.15,-0.022856,intraday,-0.015407,2026-07-25T16:19:51.519529-04:00
2026-07-24,2026-07-24,QQQ,Yahoo Finance,intraday,intraday,684.23,2026-07-17,695.33,551.68,748.65,553.88,746.16,551.68,748.65,-0.086048,intraday,-0.015964,2026-07-25T16:19:52.640568-04:00
2026-07-24,2026-07-24,SMH,Yahoo Finance,intraday,intraday,561.19,2026-07-17,556.53,279.19,671.83,283.95,668.91,279.19,671.83,-0.164685,intraday,0.008373,2026-07-25T16:19:52.640568-04:00
2026-07-24,2026-07-24,VOO,Yahoo Finance,intraday,intraday,679.14,2026-07-17,683.17,569.29,699.15,571.45,698.26,569.29,699.15,-0.028620,intraday,-0.005899,2026-07-25T16:19:52.640568-04:00
2026-07-31,2026-07-31,QQQ,Yahoo Finance,intraday,intraday,687.99,2026-07-24,684.23,551.68,748.65,553.88,746.16,551.68,748.65,-0.081026,intraday,0.005495,2026-08-01T10:20:01.759565-04:00
2026-07-31,2026-07-31,SMH,Yahoo Finance,intraday,intraday,540.53,2026-07-24,561.19,279.19,671.83,283.95,668.91,279.19,671.83,-0.195436,intraday,-0.036815,2026-08-01T10:20:01.759565-04:00
2026-07-31,2026-07-31,VOO,Yahoo Finance,intraday,intraday,686.65,2026-07-24,679.14,569.29,699.15,571.45,698.26,569.29,699.15,-0.017879,intraday,0.011058,2026-08-01T10:20:01.759565-04:00
